Cost Item ID,Cost Item Name,Description,Quantity,Quantity Formula,Unit,Unit Cost,Unit Cost Formula,Unit Price,Unit Price Formula,Cost Code,Cost Type,Taxable,Allowance Type,Allows Customer Write-In,Specification,Require Specification Approval,Show Description,Show Quantity,Custom Field: URL,Custom Field: Production Rate,Custom Field: Available Finishes,Custom Field: Labor Wage,Custom Field: Labor Burden,Custom Field: Category,Custom Field: Vendor,Custom Field: Waste,Custom Field: Formula Notes,Custom Field: Ordered Status,Custom Field: Dimensions,Custom Field: Specifications
22P4pdfMQMVh,Kerdi-Shower-T/-TS/-TT 38 in. x 38 in. Neo-Angle Sloped Shower Tray,Kerdi-Shower-T/-TS/-TT is a prefabricated sloped shower tray with integrated Kerdi waterproofing. It is lightweight and made of expanded polystyrene. The shower tray eliminates the need for a mortar bed making installation quick and easy. The Kerdi-Shower-T/-TS/-TT is designed to integrate with the Schluter-Kerdi-Drain.,,,,133.15,,190.21428571428572,,1800 Tiling,Materials,false,,false,false,true,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Shower-T-TS-TT-38-in-x-38-in-Neo-Angle-Sloped-Shower-Tray-KST965NA-BF/309468517,,,,,,,1.2,,,,
22P4pdfPnZkE,Kerdi-Shower-T/-TS/-TT 38 in. x 38 in. Sloped Shower Tray,Kerdi-Shower-T/-TS/-TT is a prefabricated sloped shower tray with integrated Kerdi waterproofing. It is lightweight and made of expanded polystyrene. The shower tray eliminates the need for a mortar bed making installation quick and easy. The Kerdi-Shower-T/-TS/-TT is designed to integrate with the Schluter-Kerdi-Drain.,,,,118.93,,169.90000000000003,,1800 Tiling,Materials,false,,false,false,true,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Shower-T-TS-TT-38-in-x-38-in-Sloped-Shower-Tray-KST965BF/309468531,,,,,,,1.2,,,,
22P4pdfSMC8D,Kerdi-Shower-T/-TS/-TT 48 in. x 60 in. Sloped Shower Tray,Kerdi-Shower-T/-TS/-TT is a prefabricated sloped shower tray with integrated Kerdi waterproofing. It is lightweight and made of expanded polystyrene. The shower tray eliminates the need for a mortar bed making installation quick and easy. The Kerdi-Shower-T/-TS/-TT is designed to integrate with the Schluter-Kerdi-Drain.,,,,194.17,,277.3857142857143,,1800 Tiling,Materials,false,,false,false,true,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Shower-T-TS-TT-48-in-x-60-in-Sloped-Shower-Tray-KST1220-1525/309468533,,,,,,,1.2,,,,
22P4pdfUnxgA,Kerdi-Shower-T/-TS/-TT 48 in. x 72 in. Sloped Shower Tray,Kerdi-Shower-T/-TS/-TT is a prefabricated sloped shower tray with integrated Kerdi waterproofing. It is lightweight and made of expanded polystyrene. The shower tray eliminates the need for a mortar bed making installation quick and easy. The Kerdi-Shower-T/-TS/-TT is designed to integrate with the Schluter-Kerdi-Drain.,,,,228.74,,326.7714285714286,,1800 Tiling,Materials,false,,false,false,true,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Shower-T-TS-TT-48-in-x-72-in-Sloped-Shower-Tray-KST1220-1830/309468535,,,,,,,1.2,,,,
22P4pdfXQQ75,Kerdi-Shower-T/-TS/-TT 60 in. x 60 in. Sloped Shower Tray,Kerdi-Shower-T/-TS/-TT is a prefabricated sloped shower tray with integrated Kerdi waterproofing. It is lightweight and made of expanded polystyrene. The shower tray eliminates the need for a mortar bed making installation quick and easy. The Kerdi-Shower-T/-TS/-TT is designed to integrate with the Schluter-Kerdi-Drain.,,,,255.2,,364.57142857142856,,1800 Tiling,Materials,false,,false,false,true,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Shower-T-TS-TT-60-in-x-60-in-Sloped-Shower-Tray-KST1525/309468541,,,,,,,1.2,,,,
22P4pdfZwLS6,Kerdi-Shower-T/-TS/-TT 72 in. x 72 in. Sloped Shower Tray,Kerdi-Shower-T/-TS/-TT is a prefabricated sloped shower tray with integrated Kerdi waterproofing. It is lightweight and made of expanded polystyrene. The shower tray eliminates the need for a mortar bed making installation quick and easy. The Kerdi-Shower-T/-TS/-TT is designed to integrate with the Schluter-Kerdi-Drain.,,,,277.38,,396.25714285714287,,1800 Tiling,Materials,false,,false,false,true,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Shower-T-TS-TT-72-in-x-72-in-Sloped-Shower-Tray-KST1830/309468544,,,,,,,1.2,,,,
22P3A5JnLGvF,KOHLER Bellwether White Cast Iron Alcove Soaking Bathtub,"30.25-in x 60-in 
(Right Drain)",,,Each,889.38,,931.6509125475286,,1100 Plumbing,Materials,false,,false,false,true,true,true,https://www.homedepot.com/p/KOHLER-Bellwether-60-in-x-30-in-Soaking-Bathtub-with-Right-Hand-Drain-in-White-K-838-0/203309984,0.1,,35,1.3,,,1.2,,,,
22P3A4GSKFUP,Kohler Castia™ by Studio McGee,Installation uide: https://techcomm.kohler.com/techcomm/pdf/1555132-2.pdf,1,,Each,647.06,,697.06,,1100 Plumbing,Materials,false,,false,false,true,true,true,https://www.kohler.com/en/products/showers/shop-bath-shower-faucets/castia-rite-temp-bath-and-shower-trim-kit-2-5-gpm-t35918-4y?skuId=T35918-4Y-BL,,,,,,,,,,,
22NnAP9rEB2w,Kohler Devonshire Shower Faucet Trim,"https://www.build.com/kohler-k-ts396-4/s1245985

4 Finishes - 
Oil Rubbed Bronze
Polished Chrome
Brushed Nickel
Polished Brass",,,Each,114.26,,163.22851497544445,,1100 Plumbing,Materials,true,,false,false,true,true,true,,,,,,,,,,,,
22PPvymxEjZm,Kohler Entity,Three Wall Alcove Acrylic Soaking Tub with Left Drain,,,Each,505.66,,758.49,,1100 Plumbing,Materials,true,,false,true,true,true,true,https://www.fergusonhome.com/kohler-k-26109-la/s1699733?uid=4011568,0.005,,35,1.35,Plumbing,Build.com,1.2,,false,,
