Cost Group Template ID,Cost Group Template Name,Cost Group Name,Cost Item ID,Cost Item Name,Description,Quantity,Quantity Formula,Unit,Unit Cost,Unit Cost Formula,Unit Price,Unit Price Formula,Cost Code,Cost Type,Taxable,Allowance Type,Allows Customer Write-In,Specification,Require Specification Approval,Selected,Minimum Selections,Maximum Selections,Show Child Costs,Show Child Deltas,Show Children,Show Description,Show Quantity,Custom Field: URL,Custom Field: Production Rate,Custom Field: Available Finishes,Custom Field: Labor Wage,Custom Field: Labor Burden,Custom Field: Category,Custom Field: Vendor,Custom Field: Waste,Custom Field: Formula Notes,Custom Field: Ordered Status,Custom Field: Dimensions,Custom Field: Specifications
,New Deck Template,Framing; Lumber; Blocking,22Np3xcfpxKB,"Material | Framing | KD SPF | 2""x8""x16'",16 Footers,0,"IF(
  CEIL( (MAX(0, CEIL({d_width}/4)-1) * {d_length}) / 16 )
    <= MIN(
          CEIL( (MAX(0, CEIL({d_width}/4)-1) * {d_length}) / 12 ),
          CEIL( (MAX(0, CEIL({d_width}/4)-1) * {d_length}) / 8 )
       ),
  CEIL( (MAX(0, CEIL({d_width}/4)-1) * {d_length}) / 16 ),
  0
)",Each,23.15,,46.3,,0600 Framing,Materials,true,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Framing; Lumber; Fascia,,,,,,Each,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,New Deck Template,Framing; Lumber; Fascia,22Np3xdXEu7m,Material | Decking | Lumber WRC | 1x8x12,,0,"IF(
  CEIL( (2*{d_length}+{d_width}) / 8 )
    <  MIN(
          CEIL( (2*{d_length}+{d_width}) / 12 ),
          CEIL( (2*{d_length}+{d_width}) / 16 )
       ),
  CEIL( (2*{d_length}+{d_width}) / 8 ),
  0
)",Each,,,,,2500 Decking,Materials,true,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Framing; Lumber; Fascia,22Np3xdXEu7m,Material | Decking | Lumber WRC | 1x8x12,,0,"IF(
  CEIL( (2*{d_length}+{d_width}) / 12 )
    <  CEIL( (2*{d_length}+{d_width}) / 16 )
  AND
  CEIL( (2*{d_length}+{d_width}) / 12 )
    <= CEIL( (2*{d_length}+{d_width}) / 8 ),
  CEIL( (2*{d_length}+{d_width}) / 12 ),
  0
)",Each,,,,,2500 Decking,Materials,true,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Framing; Lumber; Fascia,22Np3xdXEu7m,Material | Decking | Lumber WRC | 1x8x12,,0,"IF(
  CEIL( (2*{d_length}+{d_width}) / 16 )
    <= MIN(
          CEIL( (2*{d_length}+{d_width}) / 12 ),
          CEIL( (2*{d_length}+{d_width}) / 8 )
       ),
  CEIL( (2*{d_length}+{d_width}) / 16 ),
  0
)",Each,,,,,2500 Decking,Materials,true,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Framing; Labor,,,"Your deck framing supports the main structure of your deck, acting as the foundation. This will include all the labor to build your deck.",,{Parent Quantity},Square Feet,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,New Deck Template,Framing; Labor,22NmAzFsX5MS,Labor | Framing | Exterior,,0,ceil({parent quantity}* {production rate}),Hours,46.15384615384615,ceil({Labor Wage}*{Labor Burden}),65.93406593406594,,0600 Framing,Labor,false,,false,false,true,false,,,,,,true,true,,0.26,,,,,,,,,,
,New Deck Template,Framing; Labor,22Ns2ra9ekyz,Labor | Sitework | Temporary Bracing,,0,ceil({parent quantity}* {production rate}),Hours,70,ceil({Labor Wage}*{Labor Burden}),100,,0000 Uncategorized,Labor,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Framing; Materials,,,,,{Parent Quantity},Square Feet,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,New Deck Template,Framing; Materials; Hangers/Connectors,,,,,,,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
