Cost Group Template ID,Cost Group Template Name,Cost Group Name,Cost Item ID,Cost Item Name,Description,Quantity,Quantity Formula,Unit,Unit Cost,Unit Cost Formula,Unit Price,Unit Price Formula,Cost Code,Cost Type,Taxable,Allowance Type,Allows Customer Write-In,Specification,Require Specification Approval,Selected,Minimum Selections,Maximum Selections,Show Child Costs,Show Child Deltas,Show Children,Show Description,Show Quantity,Custom Field: URL,Custom Field: Production Rate,Custom Field: Available Finishes,Custom Field: Labor Wage,Custom Field: Labor Burden,Custom Field: Category,Custom Field: Vendor,Custom Field: Waste,Custom Field: Formula Notes,Custom Field: Ordered Status,Custom Field: Dimensions,Custom Field: Specifications
22P4pdgGMLHZ,Kerdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kerdi,Kerdi,,,,,,,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,Kerdi,Kerdi; Pans,22P4pdfXQQ75,Material | Tile | Kerdi-Shower Tray Sloped | 60x60,Kerdi-Shower-T/-TS/-TT is a prefabricated sloped shower tray with integrated Kerdi waterproofing. It is lightweight and made of expanded polystyrene. The shower tray eliminates the need for a mortar bed making installation quick and easy. The Kerdi-Shower-T/-TS/-TT is designed to integrate with the Schluter-Kerdi-Drain.,,,Each,255.2,,364.57,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Shower-T-TS-TT-60-in-x-60-in-Sloped-Shower-Tray-KST1525/309468541,,,,,,,1.2,,,,
,Kerdi,Kerdi; Pans,22P4pdfZwLS6,Material | Tile | Kerdi-Shower Tray Sloped | 72x72,Kerdi-Shower-T/-TS/-TT is a prefabricated sloped shower tray with integrated Kerdi waterproofing. It is lightweight and made of expanded polystyrene. The shower tray eliminates the need for a mortar bed making installation quick and easy. The Kerdi-Shower-T/-TS/-TT is designed to integrate with the Schluter-Kerdi-Drain.,,,Each,277.38,,396.26,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Shower-T-TS-TT-72-in-x-72-in-Sloped-Shower-Tray-KST1830/309468544,,,,,,,1.2,,,,
,Kerdi,Kerdi; Pans,22NmAGFyp6SC,Material | Tile | Schluter Shower Pan,,1,,Each,178,,254.29,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Kerdi,Kerdi; Banding/Corners,,,,,,,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,Kerdi,Kerdi; Banding/Corners,22P4pdfcTcVM,Material | Tile | Kerdi-Kereck-F Pre-Formed 90° Waterproofing Inside Corners (2-Pack),"Kerdi-Kereck-F are preformed, seamless corners for waterproofing the corners of Kerdi and Ditra assemblies to prevent leaks. The 4 mil thickness helps minimize build-up in the corners. The KERECK/FI2 is a package of 2 inside corners.",,,Each,18.2,,26,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Kereck-F-Pre-Formed-90-Waterproofing-Inside-Corners-2-Pack-KERECK-FI2/202608396,,,,,,,1.2,,,,
,Kerdi,Kerdi; Banding/Corners,22P4pdfezUSb,Material | Tile | Kerdi-Kereck-F Pre-Formed 90° Waterproofing Outside Corners (2-Pack),"Kerdi-Kereck-F are preformed, seamless corners for waterproofing the corners of Kerdi and Ditra assemblies to prevent leaks. The 4 mil thickness helps minimize build-up in the corners. The KERECK/FA2 is a package of 2 outside corners.",,,Each,18.2,,26,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Kereck-F-Pre-Formed-90-Waterproofing-Outside-Corners-2-Pack-KERECK-FA2/202608394,,,,,,,1.2,,,,
,Kerdi,Kerdi; Banding/Corners,22P4pdfhYRjc,Material | Tile | Kerdi-Seal Mixing Valve,Kerdi-Seal-MV is a prefabricated waterproofing seal with over-molded rubber gasket. It is designed to protect moisture sensitive backing panels at the mixing valve in Kerdi Shower installations. The KMSMV235/114 has a 4-1/2 in. mixing valve opening.,,,Each,10.34,,14.77,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Seal-MV-4-1-2-in-Mixing-Valve-Seal-with-Rubber-Gasket-KMSMV235-114/202608448,,,,,,,1.2,,,,
,Kerdi,Kerdi; Banding/Corners,22P4pdfk53ZA,"Material | Tile | Kerdi-Seal Pipe Seal | 3/4""",Kerdi-Seal-PS is a prefabricated waterproofing seal with over-molded rubber gasket. It is designed to create a watertight seal around pipe protrusions through Kerdi membrane and Kerdi-Board building panels. The seals are made of Kerdi and the 4-mil thickness helps minimize build-up.,,,Each,,,,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Seal-PS-6-3-4-in-x-6-3-4-in-x-4-mil-Pipe-Seal-Underlayment-with-3-4-in-Rubber-Gasket-KMS172-20/320993015,,,,,,,1.2,,,,
,Kerdi,Kerdi; Banding/Corners,22P4pdfnXkhB,Material | Tile | Kerdi-Band Strip,Kerdi-Band is a waterproofing strip for sealing butt joints and floor/wall connections with Kerdi and Ditra membranes. It is installed with unmodified thinset to ensure a fully water-tight seal to prevent leaks. The 4 mil thickness of the Kerdi-Band helps prevent build up under the tile.,,,Each,45.44,,64.91,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Kerdi-Band-5-in-x-32-ft-10-in-x-4-mil-Underlayment-Waterproofing-Strip-KEBA100-125-10M/202608379,,,,,,,1.2,,,,
,Kerdi,Kerdi; Banding/Corners,22NmAGFUVFjw,Material | Tile | Schluter Banding - 16',,0,ceil({shower wall height}*4/16.5),Each,20.75,,29.63,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
