Cost Group Template ID,Cost Group Template Name,Cost Group Name,Cost Item ID,Cost Item Name,Description,Quantity,Quantity Formula,Unit,Unit Cost,Unit Cost Formula,Unit Price,Unit Price Formula,Cost Code,Cost Type,Taxable,Allowance Type,Allows Customer Write-In,Specification,Require Specification Approval,Selected,Minimum Selections,Maximum Selections,Show Child Costs,Show Child Deltas,Show Children,Show Description,Show Quantity,Custom Field: URL,Custom Field: Production Rate,Custom Field: Available Finishes,Custom Field: Labor Wage,Custom Field: Labor Burden,Custom Field: Category,Custom Field: Vendor,Custom Field: Waste,Custom Field: Formula Notes,Custom Field: Ordered Status,Custom Field: Dimensions,Custom Field: Specifications
,Dempsey Copy,Drywall; Labor,22Nt5Ta48Y8V,Labor | Drywall | Drywall Remove and Replace,4' x 4',5,ceil({production rate}*{parent quantity}),Hours,50,{labor per sqft}*{wall repair sq ft}/{quantity},71.43,,1400 Drywall,Labor,false,,false,false,true,false,,,,,,true,true,,0.2,,,,,,,,,,
,Dempsey Copy,Drywall; Materials,,,,,,,,,,,,,,,,,,false,,,true,false,false,true,,,,,,,,,,,,,
,Dempsey Copy,Drywall; Materials,22NmAGJrpMxm,"Material | Drywall | Drywall Sheet | 1/2"" 4x8",,2,,Each,20.48,,29.26,,1400 Drywall,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Dempsey Copy,Drywall; Materials,22NmAGK4UpbK,"Material | Drywall | Drywall Mold Res | 1/2"" 4x8",,,,Each,19.2,,27.43,,1400 Drywall,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Dempsey Copy,Drywall; Materials,22NmAGKHARF9,Material | Drywall | Drywall Mud - 4.5 gal,,1,,Each,15.48,,22.11,,1400 Drywall,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Dempsey Copy,Drywall; Materials,22NmAGKM8dnv,Material | Drywall | Drywall Tape - mesh | 500ft,,1,,Each,11.98,,17.11,,1400 Drywall,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Dempsey Copy,Drywall; Materials,22NmAGKVm7n9,"Material | Drywall | Drywall Screws | 1 5/8"" 1lb",,0,,Each,7.98,,11.4,,1400 Drywall,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Dempsey Copy,Drywall; Materials,22NmAGKY9aZb,"Material | Drywall | Drywall Screws | 1 5/8"" 5lb",,1,,Each,25.98,,37.11,,1400 Drywall,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Dempsey Copy,Painting,,,Prime with BIN Shellac Primer and paint to match existing as needed.,150,{bathroom wall paint (sq ft)},Square Feet,,,,,,,,,,,,false,,,true,false,false,true,,,,,,,,,,,,,
,Dempsey Copy,Painting; Labor,,,,150,{parent quantity},Square Feet,,,,,,,,,,,,false,,,true,false,false,true,,,,,,,,,,,,,
,Dempsey Copy,Painting; Labor,22P4fhStkjuN,Labor | Painting | Caulking,,3,ceil({production rate}*{parent quantity}),Hours,50,,83.33,,2300 Painting,Labor,false,,false,false,true,false,,,,,,true,true,,0.02,,,,,,1.2,,,,
,Dempsey Copy,Painting; Labor,22P4fhSxEbkp,Labor | Painting | Prime Coat,1 Coat,5,ceil({production rate}*{parent quantity}),Hours,50,,83.33,,2300 Painting,Labor,false,,false,false,true,false,,,,,,true,true,,0.03,,,,,,1.2,,,,
,Dempsey Copy,Painting; Labor,22NnDvCkg2KD,Labor | Painting | General Paint,3 Coats,6,ceil({production rate}*{parent quantity}),Hours,50,,71.43,,2300 Painting,Labor,false,,false,false,true,false,,,,,,true,true,,0.22,,,,,,,,,,
,Dempsey Copy,Painting; Materials,,,,150,{parent quantity},Square Feet,,,,,,,,,,,,false,,,true,false,false,true,,,,,,,,,,,,,
,Dempsey Copy,Painting; Materials; Misc,,,,150,{parent quantity},Square Feet,,,,,,,,,,,,false,,,true,false,false,true,,,,,,,,,,,,,
,Dempsey Copy,Painting; Materials; Misc,22NmAGnMU82r,Material | Framing | Caulking,,3,"if({parent quantity}>50,3,1)",Each,11.19,,15.99,,0600 Framing,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Dempsey Copy,Painting; Materials; Misc,22NmAGKqRntT,Material | Painting | Tape - painters tape blue,,3,"if({parent quantity}>50,3,1)",Each,6.98,,9.97,,2300 Painting,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Dempsey Copy,Painting; Materials; Paint,,,,150,{parent quantity},Square Feet,,,,,,,,,,,,false,1,,true,false,false,true,,,,,,,,,,,,,
,Dempsey Copy,Painting; Materials; Paint,22NmAGKz5P99,Material | Painting | BIN Shellac Primer,,3,ceil({parent quantity}/55),Gallons,75,,107.14,,2300 Painting,Materials,false,,false,false,true,true,,,,,,true,true,,,,,,,,,,,,
,Dempsey Copy,Painting; Materials; Paint,22NmAGLKzGs3,Material | Painting | Sherwin Williams Super Paint,,3,ceil({parent quantity}/55),Gallons,65,,92.86,,2300 Painting,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Dempsey Copy,Painting; Materials; Paint,22NmAGLN7L3P,Material | Painting | Sherwin Williams Duration Exterior Acrylic Latex,,3,ceil({parent quantity}/55),Each,99.63,,142.33,,2300 Painting,Materials,false,,false,false,true,true,,,,,,true,true,,,,,,,,,,,,
,Dempsey Copy,Painting; Materials; Paint,22NmAGLTgWd4,Material | Painting | Sherwin Williams Emerald Urethane Semi Gloss 1 gal,,3,ceil({parent quantity}/55),Each,110,,157.14,,2300 Painting,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Dempsey Copy,Painting,22P3DNcgbbc7,Labor | Cabinetry | Install Vanity,,4,,Hours,65,,92.86,,1900 Cabinetry,Labor,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Dempsey Copy,Finish Carpentry,,,Install Vanity and Shelving. Install bathroom hardware.,,,,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,Dempsey Copy,Finish Carpentry,22Nn3YrsJcAL,Labor | Cabinetry | Install Cabinets,,8,,Hours,80,,80,,1900 Cabinetry,Labor,false,,false,false,true,false,,,,,,true,true,,0.09,,,,,,,,,,
,Dempsey Copy,Bathtub Install Package,,,Remove Existing and Replace with choice of two tubs.,,,,,,,,,,,,,,,true,,,true,false,true,true,,,,,,,,,,,,,
,Dempsey Copy,Bathtub Install Package; Materials,,,,,,,,,,,,,,,,,,false,1,1,true,true,true,true,,,,,,,,,,,,,
